# it	en	es	fr	de	pt
↻ Scansiona	↻ Scan	↻ Buscar	↻ Analyser	↻ Scannen	↻ Procurar
Installa MFG Unlock controlla l’ultima release stabile di nefh/MFGAmpereUnlock-RenoDx, verifica SHA256 e configura il caricamento anticipato in ReShade.ini. Conserva gli altri add-on e le loro impostazioni. Aggiorna MFG Unlock controlla di nuovo online; se la verifica fallisce non installa un vecchio pacchetto in cache.	Install MFG Unlock checks the latest stable release from nefh/MFGAmpereUnlock-RenoDx, verifies its SHA256 and configures early loading in ReShade.ini. Other add-ons and their settings are preserved. Update MFG Unlock checks online again; a failed check never installs an old cached package.	Instalar MFG Unlock consulta la última versión estable de nefh/MFGAmpereUnlock-RenoDx, verifica SHA256 y configura la carga anticipada en ReShade.ini. Conserva los demás complementos y ajustes. Actualizar MFG Unlock consulta de nuevo; si falla no instala paquetes antiguos en caché.	Installer MFG Unlock recherche la dernière version stable de nefh/MFGAmpereUnlock-RenoDx, vérifie SHA256 et configure le chargement anticipé dans ReShade.ini. Les autres add-ons et réglages sont conservés. Mettre à jour MFG Unlock vérifie à nouveau en ligne ; un échec n’installe jamais un ancien paquet en cache.	MFG Unlock installieren prüft die neueste stabile Version von nefh/MFGAmpereUnlock-RenoDx, verifiziert SHA256 und richtet frühes Laden in ReShade.ini ein. Andere Add-ons und Einstellungen bleiben erhalten. MFG Unlock aktualisieren prüft erneut online; bei Fehlern wird kein altes Cache-Paket installiert.	Instalar MFG Unlock consulta a versão estável mais recente de nefh/MFGAmpereUnlock-RenoDx, verifica SHA256 e configura o carregamento antecipado em ReShade.ini. Preserva outros add-ons e definições. Atualizar MFG Unlock verifica novamente online; uma falha nunca instala um pacote antigo em cache.
L’autore indica attualmente DLSS-G 310.9.1 per tutte le funzionalità. Dynamic MFG richiede un percorso Direct3D 12 / Streamline 2.14.1 verificato e driver 595.41 o successivo. Non sostituire Streamline 1.x con 2.x. HDLSS conserva i file NVIDIA e Streamline; consulta la compatibilità MFG Unlock per il gioco scelto.	The author currently specifies DLSS-G 310.9.1 for the full feature set. Dynamic MFG requires a qualified Direct3D 12 / Streamline 2.14.1 path and driver 595.41 or newer. Do not replace legacy Streamline 1.x with 2.x. HDLSS leaves NVIDIA and Streamline files intact; consult MFG Unlock compatibility for the selected game.	El autor indica DLSS-G 310.9.1 para todas las funciones. Dynamic MFG requiere una ruta Direct3D 12 / Streamline 2.14.1 validada y controlador 595.41 o posterior. No sustituyas Streamline 1.x por 2.x. HDLSS conserva los archivos NVIDIA y Streamline; consulta la compatibilidad MFG Unlock del juego.	L’auteur indique actuellement DLSS-G 310.9.1 pour toutes les fonctions. Dynamic MFG nécessite un chemin Direct3D 12 / Streamline 2.14.1 validé et le pilote 595.41 ou ultérieur. Ne remplacez pas Streamline 1.x par 2.x. HDLSS conserve les fichiers NVIDIA et Streamline ; consultez la compatibilité MFG Unlock du jeu.	Der Autor nennt derzeit DLSS-G 310.9.1 für den vollen Funktionsumfang. Dynamic MFG erfordert einen geprüften Direct3D-12-/Streamline-2.14.1-Pfad und Treiber 595.41 oder neuer. Streamline 1.x nicht durch 2.x ersetzen. HDLSS lässt NVIDIA- und Streamline-Dateien unverändert; die MFG-Unlock-Kompatibilität des Spiels prüfen.	O autor indica DLSS-G 310.9.1 para todas as funcionalidades. Dynamic MFG requer um percurso Direct3D 12 / Streamline 2.14.1 validado e controlador 595.41 ou mais recente. Não substituas Streamline 1.x por 2.x. HDLSS preserva os ficheiros NVIDIA e Streamline; consulta a compatibilidade MFG Unlock do jogo.
Ripristina MFG Unlock ripristina il precedente file dell’add-on e rimuove solo la voce di caricamento anticipato aggiunta. Mantiene le impostazioni ReShade successive. Ripristina MFG prima di rimuovere ReShade. Conserva data: backup mancanti o modificati fermano il ripristino.	Restore MFG Unlock restores its previous add-on file and removes only its added early-load entry. Later ReShade settings are retained. Restore MFG before removing ReShade. Keep the data folder: missing or changed backups stop restoration.	Restaurar MFG Unlock recupera el archivo anterior y elimina solo su entrada de carga anticipada añadida. Conserva los ajustes posteriores de ReShade. Restaura MFG antes de eliminar ReShade. Conserva data: las copias ausentes o modificadas detienen la restauración.	Restaurer MFG Unlock rétablit l’ancien fichier et retire uniquement son entrée de chargement anticipé ajoutée. Les réglages ReShade ultérieurs sont conservés. Restaurez MFG avant de supprimer ReShade. Conservez data : des sauvegardes absentes ou modifiées bloquent la restauration.	MFG Unlock wiederherstellen stellt die vorherige Add-on-Datei wieder her und entfernt nur den hinzugefügten Frühstart-Eintrag. Spätere ReShade-Einstellungen bleiben erhalten. MFG vor ReShade wiederherstellen. Den data-Ordner behalten: fehlende oder veränderte Backups stoppen die Wiederherstellung.	Restaurar MFG Unlock repõe o ficheiro anterior e remove apenas a entrada adicionada de carregamento antecipado. Mantém as definições posteriores do ReShade. Restaura MFG antes de remover ReShade. Conserva data: backups ausentes ou alterados impedem o restauro.
ReShade stabile usa l’ultimo pacchetto ufficiale full add-on; nightly usa l’ultima build di sviluppo riuscita. RenoDX viene associata tramite il catalogo attuale e controlla le pubblicazioni recenti. Pacchetti non supportati o ambigui fermano l’installazione. Le importazioni locali usano il file scelto e non ne certificano l’ultima versione.	Stable ReShade uses the latest official full add-on package; nightly uses the latest successful development build. RenoDX is matched against the current game catalog and checks recent published assets. Unsupported or ambiguous packages stop the installation. Local imports use the file you select and cannot certify that it is the latest release.	ReShade estable usa el último paquete oficial full add-on; nightly usa la última compilación de desarrollo correcta. RenoDX consulta el catálogo actual y las publicaciones recientes. Los paquetes no compatibles o ambiguos detienen la instalación. Las importaciones locales no certifican la última versión.	ReShade stable utilise le dernier paquet officiel full add-on ; nightly utilise la dernière compilation de développement réussie. RenoDX consulte le catalogue actuel et les publications récentes. Les paquets incompatibles ou ambigus bloquent l’installation. Une importation locale ne certifie pas la dernière version.	ReShade stable nutzt das neueste offizielle Full-Add-on-Paket; nightly den letzten erfolgreichen Entwicklungsbuild. RenoDX nutzt den aktuellen Spielekatalog und prüft neuere Veröffentlichungen. Nicht unterstützte oder mehrdeutige Pakete stoppen die Installation. Lokale Importe bestätigen keine aktuelle Version.	ReShade estável usa o pacote oficial full add-on mais recente; nightly usa a última compilação de desenvolvimento bem-sucedida. RenoDX consulta o catálogo atual e publicações recentes. Pacotes incompatíveis ou ambíguos impedem a instalação. Importações locais não certificam a versão mais recente.
MFG Unlock è separato da RenoDX HDR e dalla Frame Generation di OptiScaler. File installati non significa attivazione confermata. Controlla il log ReShade e il pannello MFG Unlock nel gioco avviato. MFG Unlock non aggiunge DLSS FG nativa ai giochi che ne sono privi.	MFG Unlock is separate from HDR RenoDX and OptiScaler Frame Generation. Installed files are not proof of activation. Check the ReShade log and the MFG Unlock panel in the running game. MFG Unlock does not add native DLSS FG to a game that lacks it.	MFG Unlock es independiente de RenoDX HDR y Frame Generation de OptiScaler. Archivos instalados no prueban la activación. Comprueba el registro ReShade y el panel MFG Unlock dentro del juego. MFG Unlock no añade DLSS FG nativa a juegos que carecen de ella.	MFG Unlock est distinct de RenoDX HDR et Frame Generation d’OptiScaler. Des fichiers installés ne prouvent pas l’activation. Vérifiez le journal ReShade et le panneau MFG Unlock dans le jeu. MFG Unlock n’ajoute pas DLSS FG natif aux jeux qui en sont dépourvus.	MFG Unlock ist von RenoDX HDR und OptiScaler Frame Generation getrennt. Installierte Dateien beweisen keine Aktivierung. ReShade-Log und MFG-Unlock-Panel im laufenden Spiel prüfen. MFG Unlock fügt fehlendes natives DLSS FG nicht hinzu.	MFG Unlock é independente de RenoDX HDR e Frame Generation do OptiScaler. Ficheiros instalados não provam ativação. Verifica o registo ReShade e o painel MFG Unlock no jogo. MFG Unlock não adiciona DLSS FG nativa a jogos que não a têm.
Installa UE4SS per le mod scarica l’ultimo runtime stabile ufficiale per un gioco Unreal supportato, senza il lettore di telemetria HDLSS. UE4SS e mod esistenti vengono conservati. Controlla la compatibilità con gioco e mod prima di cambiare runtime.	Install UE4SS for mods downloads the latest official stable runtime for a supported Unreal game, without the HDLSS telemetry reader. Existing UE4SS and mods are preserved. Check compatibility with the game and its mods before changing a runtime.	Instalar UE4SS para mods descarga el último runtime estable oficial para un juego Unreal compatible, sin lector de telemetría HDLSS. Se conservan UE4SS y mods existentes. Comprueba su compatibilidad antes de cambiar el runtime.	Installer UE4SS pour les mods télécharge le dernier runtime stable officiel pour un jeu Unreal compatible, sans lecteur de télémétrie HDLSS. UE4SS et les mods existants sont conservés. Vérifiez leur compatibilité avant de changer le runtime.	UE4SS für Mods installieren lädt die neueste offizielle stabile Runtime für ein unterstütztes Unreal-Spiel, ohne HDLSS-Telemetrieleser. Vorhandenes UE4SS und Mods bleiben erhalten. Vor einem Runtime-Wechsel die Kompatibilität mit Spiel und Mods prüfen.	Instalar UE4SS para mods descarrega o runtime estável oficial mais recente para um jogo Unreal compatível, sem leitor de telemetria HDLSS. UE4SS e mods existentes são preservados. Verifica a compatibilidade antes de alterar o runtime.
Conserva la cartella data portable quando sostituisci l’eseguibile. Preferenze, lingua e backup vengono riutilizzati. Ogni installazione controlla online i download; nessun aggiornamento viene applicato di nascosto all’avvio del gioco. Controlla il piano, applica con backup e prova in gioco. Le verifiche dei file non certificano tutti i giochi e tutte le GPU.	Keep the portable data folder when replacing the executable. Preferences, language and backups are reused. Downloads are checked online for each installation; no update is silently applied at game launch. Review the file plan, apply with backup, then test in game. Neither every game nor every GPU combination can be certified by file checks.	Conserva la carpeta data portable al sustituir el ejecutable. Se reutilizan preferencias, idioma y copias. Cada instalación consulta las descargas online; no se actualiza silenciosamente al iniciar el juego. Revisa el plan, aplica con copia y prueba en el juego. Las comprobaciones de archivos no certifican todos los juegos ni GPU.	Conservez le dossier data portable en remplaçant l’exécutable. Préférences, langue et sauvegardes sont réutilisées. Chaque installation vérifie les téléchargements en ligne ; aucune mise à jour silencieuse au lancement du jeu. Vérifiez le plan, appliquez avec sauvegarde puis testez en jeu. Les contrôles de fichiers ne certifient pas tous les jeux et GPU.	Beim Ersetzen der EXE den portablen data-Ordner behalten. Einstellungen, Sprache und Backups werden weiterverwendet. Downloads werden bei jeder Installation online geprüft; beim Spielstart erfolgen keine stillen Updates. Dateiplan prüfen, mit Backup anwenden und im Spiel testen. Dateiprüfungen zertifizieren nicht jede Spiel-/GPU-Kombination.	Conserva a pasta data portable ao substituir o executável. Preferências, idioma e backups são reutilizados. Cada instalação verifica os downloads online; não há atualizações silenciosas ao iniciar o jogo. Revê o plano, aplica com backup e testa no jogo. As verificações de ficheiros não certificam todos os jogos e GPU.
# Additional mod UI
Installa ReShade	Install ReShade	Instalar ReShade	Installer ReShade	ReShade installieren	Instalar ReShade
Installa RenoDX	Install RenoDX	Instalar RenoDX	Installer RenoDX	RenoDX installieren	Instalar RenoDX
ReShade installato · aggiorna	ReShade installed · update	ReShade instalado · actualizar	ReShade installé · mettre à jour	ReShade installiert · aktualisieren	ReShade instalado · atualizar
RenoDX installato · aggiorna	RenoDX installed · update	RenoDX instalado · actualizar	RenoDX installé · mettre à jour	RenoDX installiert · aktualisieren	RenoDX instalado · atualizar
ReShade · non installato per questo eseguibile	ReShade · not installed for this executable	ReShade · no instalado para este ejecutable	ReShade · non installé pour cet exécutable	ReShade · für diese EXE nicht installiert	ReShade · não instalado para este executável
RenoDX · non installato	RenoDX · not installed	RenoDX · no instalado	RenoDX · non installé	RenoDX · nicht installiert	RenoDX · não instalado
ReShade · installato · {0}	ReShade · installed · {0}	ReShade · instalado · {0}	ReShade · installé · {0}	ReShade · installiert · {0}	ReShade · instalado · {0}
Stato letto dai file del gioco · attivazione in gioco da verificare	Status read from game files · verify activation in game	Estado de los archivos · verifica la activación en el juego	État des fichiers · vérifier l’activation dans le jeu	Status aus Spieldateien · Aktivierung im Spiel prüfen	Estado dos ficheiros · verificar ativação no jogo
Componenti rilevati per questo eseguibile. Aggiorna quelli presenti oppure aggiungi la mod RenoDX del gioco.	Components detected for this executable. Update installed components or add the game’s RenoDX mod.	Componentes detectados para este ejecutable. Actualiza los instalados o añade la mod RenoDX del juego.	Composants détectés pour cet exécutable. Mettez-les à jour ou ajoutez le mod RenoDX du jeu.	Komponenten für diese EXE erkannt. Installierte Komponenten aktualisieren oder die RenoDX-Mod des Spiels hinzufügen.	Componentes detetados para este executável. Atualiza os instalados ou adiciona a mod RenoDX do jogo.
Giallo: canale installato verificato · Blu: scelta per il prossimo aggiornamento	Gold: verified installed channel · Blue: choice for the next update	Dorado: canal instalado verificado · Azul: elección para la próxima actualización	Doré : canal installé vérifié · Bleu : choix pour la prochaine mise à jour	Gold: installierter Kanal bestätigt · Blau: Auswahl für das nächste Update	Dourado: canal instalado verificado · Azul: escolha para a próxima atualização
Versioni controllate online al momento dell’installazione.	Versions checked online at installation time.	Versiones comprobadas online al instalar.	Versions vérifiées en ligne lors de l’installation.	Versionen werden bei der Installation online geprüft.	Versões verificadas online durante a instalação.
ReShade stabile	Stable ReShade	ReShade estable	ReShade stable	ReShade stabil	ReShade estável
ReShade nightly	ReShade nightly	ReShade nightly	ReShade nightly	ReShade nightly	ReShade nightly
Disinstalla ReShade	Uninstall ReShade	Desinstalar ReShade	Désinstaller ReShade	ReShade deinstallieren	Desinstalar ReShade
Pulisci ReShade	Clean ReShade	Limpiar ReShade	Nettoyer ReShade	ReShade bereinigen	Limpar ReShade
Catalogo mod RenoDX	RenoDX mod catalog	Catálogo de mods RenoDX	Catalogue des mods RenoDX	RenoDX-Mod-Katalog	Catálogo de mods RenoDX
Importa mod RenoDX locale…	Import local RenoDX mod…	Importar mod RenoDX local…	Importer un mod RenoDX local…	Lokale RenoDX-Mod importieren…	Importar mod RenoDX local…
Importa pacchetto ReShade…	Import ReShade package…	Importar paquete ReShade…	Importer un paquet ReShade…	ReShade-Paket importieren…	Importar pacote ReShade…
Tasto overlay ReShade · senza modificatori	ReShade menu key · no modifiers	Tecla del menú ReShade · sin modificadores	Touche du menu ReShade · sans modificateurs	ReShade-Menütaste · ohne Zusatztasten	Tecla do menu ReShade · sem modificadores
Applica tasto ReShade	Apply ReShade key	Aplicar tecla ReShade	Appliquer la touche ReShade	ReShade-Taste anwenden	Aplicar tecla ReShade
Ripristina tasto ReShade	Restore ReShade key	Restaurar tecla ReShade	Restaurer la touche ReShade	ReShade-Taste wiederherstellen	Restaurar tecla ReShade
Ripristina RenoDX	Restore RenoDX	Restaurar RenoDX	Restaurer RenoDX	RenoDX wiederherstellen	Restaurar RenoDX
HDR, DLSS 5 e mod grafiche. Senza complicazioni.	HDR, DLSS 5 and graphics mods. Simplified.	HDR, DLSS 5 y mods gráficos. Sin complicaciones.	HDR, DLSS 5 et mods graphiques. En toute simplicité.	HDR, DLSS 5 und Grafik-Mods. Einfach eingerichtet.	HDR, DLSS 5 e mods gráficos. Sem complicações.
Add-on e shader ReShade	ReShade add-ons and shaders	Complementos y shaders ReShade	Add-ons et shaders ReShade	ReShade-Add-ons und Shader	Add-ons e shaders ReShade
Installa selezionato	Install selected	Instalar seleccionado	Installer la sélection	Auswahl installieren	Instalar selecionado
Rimuovi selezionato	Remove selected	Eliminar seleccionado	Supprimer la sélection	Auswahl entfernen	Remover selecionado
Selezione dai progetti degli autori e dal catalogo ReShade; non è una classifica dei download.	Selected from author projects and the ReShade catalog; this is not a download ranking.	Selección de proyectos de autores y del catálogo ReShade; no es una clasificación de descargas.	Sélection de projets d’auteurs et du catalogue ReShade ; ce n’est pas un classement des téléchargements.	Auswahl aus Autorenprojekten und dem ReShade-Katalog; keine Download-Rangliste.	Seleção de projetos dos autores e do catálogo ReShade; não é uma classificação de downloads.
MFG: nessuna release stabile disponibile.	MFG: no stable release available.	MFG: no hay versión estable disponible.	MFG : aucune version stable disponible.	MFG: Keine stabile Version verfügbar.	MFG: nenhuma versão estável disponível.
MFG: pacchetto non supportato. Nessun file del gioco modificato.	MFG: unsupported release package. No game files changed.	MFG: paquete no compatible. No se han modificado archivos del juego.	MFG : paquet non pris en charge. Aucun fichier du jeu modifié.	MFG: Paket nicht unterstützt. Keine Spieldateien geändert.	MFG: pacote não suportado. Nenhum ficheiro do jogo alterado.
MFG: origine o checksum della release non validi.	MFG: invalid release origin or checksum.	MFG: origen o checksum de la versión no válido.	MFG : origine ou somme de contrôle invalide.	MFG: Ungültige Quelle oder Prüfsumme.	MFG: origem ou checksum da versão inválido.
MFG: verifica del download fallita. Nessun file del gioco modificato.	MFG: download verification failed. No game files changed.	MFG: falló la verificación de descarga. Ningún archivo del juego modificado.	MFG : échec de vérification du téléchargement. Aucun fichier du jeu modifié.	MFG: Downloadprüfung fehlgeschlagen. Keine Spieldateien geändert.	MFG: a verificação do download falhou. Nenhum ficheiro do jogo alterado.
MFG: backup mancante o modificato: {0}	MFG: backup missing or changed: {0}	MFG: copia ausente o modificada: {0}	MFG : sauvegarde absente ou modifiée : {0}	MFG: Backup fehlt oder wurde geändert: {0}	MFG: backup ausente ou alterado: {0}
MFG: add-on modificato dopo l’installazione. Ripristino fermato.	MFG: add-on changed after installation. Restore stopped.	MFG: complemento modificado tras instalar. Restauración detenida.	MFG : add-on modifié après installation. Restauration arrêtée.	MFG: Add-on nach Installation verändert. Wiederherstellung gestoppt.	MFG: add-on alterado após a instalação. Restauro interrompido.
MFG: file inatteso nel registro di installazione.	MFG: unexpected file in installation record.	MFG: archivo inesperado en el registro de instalación.	MFG : fichier inattendu dans le registre d’installation.	MFG: Unerwartete Datei im Installationsprotokoll.	MFG: ficheiro inesperado no registo de instalação.
È presente un altro add-on MFG: {0}	Another MFG add-on is present: {0}	Hay otro complemento MFG: {0}	Un autre add-on MFG est présent : {0}	Ein anderes MFG-Add-on ist vorhanden: {0}	Existe outro add-on MFG: {0}
ReShade64.dll non è collegato a OptiScaler. Configura prima ReShade.	ReShade64.dll is not connected to OptiScaler. Configure ReShade first.	ReShade64.dll no está conectado a OptiScaler. Configura ReShade primero.	ReShade64.dll n’est pas relié à OptiScaler. Configurez ReShade d’abord.	ReShade64.dll ist nicht mit OptiScaler verbunden. Zuerst ReShade einrichten.	ReShade64.dll não está ligado ao OptiScaler. Configura ReShade primeiro.

Neural Rendering · immagine	Neural Rendering · image	Neural Rendering · imagen	Neural Rendering · image	Neural Rendering · Bild	Neural Rendering · imagem
Componenti DLSS · file del gioco	DLSS components · game files	Componentes DLSS · archivos del juego	Composants DLSS · fichiers du jeu	DLSS-Komponenten · Spieldateien	Componentes DLSS · ficheiros do jogo
La sezione DLSS usa gruppi verticali: Neural Rendering, Frame Generation, componenti DLSS e Personalizza. I pulsanti mantengono lo stile originale. Installa OptiScaler e Applica impostazioni restano visibili in basso; scorri per raggiungere i dettagli e gli strumenti di recupero.	The DLSS section uses vertical groups: Neural Rendering, Frame Generation, DLSS components and Customize. Buttons retain their original style. Install OptiScaler and Apply settings remain visible at the bottom; scroll to reach details and recovery tools.	La sección DLSS usa grupos verticales: Neural Rendering, Frame Generation, componentes DLSS y Personalizar. Los botones conservan su estilo original. Instalar OptiScaler y Aplicar ajustes siguen visibles abajo; desplázate para ver los detalles y las herramientas de recuperación.	La section DLSS utilise des groupes verticaux : Neural Rendering, Frame Generation, composants DLSS et Personnaliser. Les boutons conservent leur style original. Installer OptiScaler et Appliquer les paramètres restent visibles en bas ; faites défiler pour accéder aux détails et aux outils de récupération.	Der DLSS-Bereich verwendet vertikale Gruppen: Neural Rendering, Frame Generation, DLSS-Komponenten und Anpassen. Die Schaltflächen behalten ihren ursprünglichen Stil. OptiScaler installieren und Einstellungen anwenden bleiben unten sichtbar; scrollen Sie zu Details und Wiederherstellungswerkzeugen.	A secção DLSS usa grupos verticais: Neural Rendering, Frame Generation, componentes DLSS e Personalizar. Os botões mantêm o estilo original. Instalar OptiScaler e Aplicar definições continuam visíveis em baixo; desloque para aceder aos detalhes e às ferramentas de recuperação.
